Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.2475,-59.182,180,top
C2,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.2475,-57.658,180,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.221,-62.23,180,top
C4,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.221,-60.736,180,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.03,-65.913,0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.318,-57.277,-90,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.379,-56.134,0,top
C8,10nF,C_0603_1608Metric,138.049,-60.579,0,top
C9,10nF,C_0603_1608Metric,138.049,-68.199,0,top
C10,10nF,C_0603_1608Metric,148.082,-49.53,90,top
D1,TVS 3.3V,D_SOD-323_HandSoldering,141.097,-51.054,0,top
J6,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401610E4-2A,100.584,-52.324,-90,top
Q1,DMG2307L,SOT-23,132.334,-66.294,180,top
Q2,DMG2307L,SOT-23,129.54,-52.07,90,top
Q3,BSD235N,SOT-363_SC-70-6,117.602,-53.34,0,top
R1,100k 1%,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,137.795,-56.515,180,top
R2,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.985,-63.246,0,top
R3,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,137.795,-58.166,0,top
R4,10K,R_0603_1608Metric,138.049,-62.103,180,top
R5,100K,R_0603_1608Metric,138.049,-63.627,0,top
R6,100K,R_0603_1608Metric,138.049,-65.151,0,top
R7,10K,R_0603_1608Metric,149.606,-49.53,-90,top
R8,10K,R_0603_1608Metric,138.049,-66.675,0,top
R9,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,134.239,-68.834,0,top
R10,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127,-53.975,-90,top
R11,330R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.49,-53.594,-90,top
R12,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.128,-66.294,-90,top
R13,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.54,-54.864,180,top
R14,2.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.808,-56.134,180,top
R15,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.839,-58.801,-90,top
R16,5.1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.712,-48.641,90,top
SW1,RESET,SW_Push_1P1T_NO_CK_KMR2,108.077,-66.04,0,top
U1,STM32G070CBTx_u,LQFP-48_7x7mm_P0.5mm,124.8675,-61.595,0,top
U3,MCP6N11-010,SOIC-8_3.9x4.9mm_P1.27mm,135.255,-52.832,180,top
U4,MCP4542,MSOP-8_3x3mm_P0.65mm,133.858,-59.055,90,top
U5,AP9101CK,SOT-23-5,113.396,-53.61,0,top
U6,MIC5504-3.3YM5,SOT-23-5,111.887,-58.801,0,top
X1,KC2520Z,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,117.221,-64.643,-90,top
