0.000000, BDCR ok: 00008200
0.000000, rcc: Clocks { hclk1: MaybeHertz(16000000), hse: MaybeHertz(0), hsi: MaybeHertz(16000000), lse: MaybeHertz(0), lsi: MaybeHertz(0), pclk1: MaybeHertz(16000000), pclk1_tim: MaybeHertz(16000000), pll1_p: MaybeHertz(0), pll1_q: MaybeHertz(0), rtc: MaybeHertz(32000), sys: MaybeHertz(16000000) }
0.000152, Hello World!
0.002288, 9, 
0.014617, 127, 
0.026916, 127, 
0.039215, 63, 
0.051513, 22, 
0.063812, 255, 
0.076110, 127, 
0.088500, 127, 
0.100891, 254, 
0.113281, 31, 
0.125671, 127, 
0.138061, 95, 
0.150451, 55, 
0.162841, 127, 
0.175231, 2, 
0.187622, 63, 
0.200012, 255, 
0.212402, 127, 
0.224792, 63, 
0.237182, 127, 
0.249572, 246, 
0.261962, 63, 
0.274353, 255, 
0.286743, 2, 
0.299133, 127, 
0.311523, 127, 
0.323913, 255, 
0.336303, 31, 
0.348693, 255, 
0.361083, 255, 
0.373474, 255, 
0.385864, 255, 
0.398254, 255, 
0.410644, 95, 
0.423034, 255, 
0.435424, 255, 
0.447814, 255, 
0.472595, 127, 
0.484985, 127, 
0.497375, 127, 
0.509765, 127, 
0.522155, 127, 
0.534545, 255, 
0.546936, 127, 
0.559326, 15, 
0.571716, 127, 
0.584106, 127, 
0.596496, 255, 
0.608886, 127, 
0.621276, 2, 
0.633666, 63, 
0.646057, 255, 
0.658447, 255, 
0.670837, 127, 
0.683227, 93, 
0.695617, 255, 
0.708007, 127, 
0.720397, 255, 
0.732788, 127, 
0.745178, 255, 
0.757568, 31, 
0.769958, 255, 
0.782348, 63, 
0.794738, 255, 
0.807128, 255, 
0.819519, 255, 
0.831909, 127, 
0.844299, 255, 
0.856689, 255, 
0.869079, 127, 
0.881469, 127, 
0.893859, 127, 
0.906250, 255, 
0.918640, 127, 
0.931030, 255, 
0.943420, 127, 
0.955810, 127, 
0.968200, 127, 
0.980590, 255, 
0.992980, 255, 
1.005371, 127, 
1.017761, 255, 
1.030151, 223, 
1.042541, 127, 
1.054931, 127, 
1.067321, 123, 
1.079711, 127, 
1.092102, 128, 
1.104492, 255, 
1.116882, 127, 
1.129272, 255, 
1.141662, 255, 
1.154052, 127, 
1.166442, 250, 
1.178833, 63, 
1.191223, 63, 
1.203613, 255, 
1.216003, 255, 
1.228393, 255, 
1.240783, 63, 
1.253173, 239, 
1.265563, 127, 
1.277954, 255, 
1.290344, 255, 
1.302734, 63, 
1.315124, 255, 
1.327514, 63, 
1.339904, 255, 
1.352203, 255, 
1.364593, 255, 
1.376983, 31, 
1.389373, 127, 
1.401763, 127, 
1.414154, 127, 
1.438934, 127, 
1.451324, 63, 
1.463714, 255, 
1.476104, 127, 
1.488494, 255, 
1.500885, 127, 
1.513275, 15, 
1.525665, 5, 
1.538055, 255, 
1.550445, 127, 
1.562835, 255, 
1.575225, 127, 
1.587615, 255, 
1.600006, 255, 
1.612396, 48, 
1.624786, 255, 
1.637176, 0, 
1.649475, 127, 
1.661865, 95, 
1.674255, 127, 
1.686645, 127, 
1.699035, 255, 
1.711425, 63, 
1.723815, 118, 
1.736206, 127, 
1.748596, 255, 
1.760986, 255, 
1.773376, 255, 
1.785766, 127, 
1.798156, 127, 
1.810546, 127, 
1.822937, 127, 
1.835327, 255, 
1.847717, 255, 
1.860107, 127, 
1.872497, 63, 
1.884887, 255, 
1.897277, 255, 
1.909667, 9, 
1.922058, 255, 
1.934448, 63, 
1.946838, 255, 
1.959228, 127, 
1.971618, 255, 
1.984008, 128, 
1.996398, 255, 
2.008789, 63, 
2.021179, 255, 
2.033569, 127, 
2.045959, 127, 
2.058349, 127, 
2.083129, 127, 
2.095520, 255, 
2.107910, 255, 
2.120300, 255, 
2.132690, 255, 
2.145080, 255, 
2.157470, 63, 
2.169860, 191, 
2.182250, 255, 
2.194641, 255, 
2.207031, 31, 
2.219421, 255, 
2.231811, 255, 
2.244201, 255, 
2.256591, 127, 
2.268981, 255, 
2.281372, 127, 
2.293762, 127, 
2.306060, 255, 
2.318450, 127, 
2.330841, 255, 
2.343231, 255, 
2.355621, 0, 
2.367919, 52, 
2.380310, 127, 
2.392700, 255, 
2.405090, 127, 
2.417480, 127, 
2.429870, 127, 
2.442260, 255, 
2.454650, 255, 
2.467041, 255, 
2.479431, 0, 
2.491729, 127, 
2.516510, 255, 
2.528900, 255, 
2.541290, 127, 
2.553680, 0, 
2.565979, 255, 
2.578369, 8, 
2.590759, 127, 
2.603149, 127, 
2.615539, 118, 
2.627929, 255, 
2.640319, 127, 
2.652709, 15, 
2.665100, 127, 
2.677490, 127, 
2.689880, 111, 
2.702270, 63, 
2.714660, 255, 
2.727050, 255, 
2.739440, 255, 
2.751831, 255, 
2.764221, 255, 
2.776611, 127, 
2.789001, 255, 
2.801391, 0, 
2.813690, 0, 
2.825988, 63, 
2.838378, 127, 
2.850769, 240, 
2.863159, 127, 
2.875549, 127, 
2.887939, 127, 
2.900329, 255, 
2.912719, 255, 
2.925109, 127, 
2.937500, 127, 
2.949890, 2, 
2.962280, 224, 
2.974670, 59, 
2.987060, 127, 
2.999450, 255, 
3.011962, 255, 
3.024353, 63, 
3.049133, 255, 
3.061523, 255, 
