0.000000, BDCR ok: 00008200
0.000000, flash: latency=0
0.000000, rcc: Clocks { hclk1: MaybeHertz(16000000), hclk2: MaybeHertz(16000000), hse: MaybeHertz(0), lse: MaybeHertz(0), lsi: MaybeHertz(0), pclk1: MaybeHertz(16000000), pclk1_tim: MaybeHertz(16000000), pclk2: MaybeHertz(16000000), pclk2_tim: MaybeHertz(16000000), pll1_q: MaybeHertz(0), plli2s1_p: MaybeHertz(0), plli2s1_q: MaybeHertz(0), plli2s1_r: MaybeHertz(0), pllsai1_q: MaybeHertz(0), rtc: MaybeHertz(32000), sys: MaybeHertz(16000000) }
0.000122, Hello World!
0.001007, VrefInt: 1499
0.001770, VCCA: 3305 mV
0.002685, 659, 531
0.014251, 397, 320
0.025817, 378, 305
0.037384, 374, 301
0.048950, 377, 304
0.060516, 382, 308
0.072082, 375, 302
0.083709, 368, 297
0.095336, 356, 287
0.106964, 375, 302
0.118591, 366, 295
0.130218, 375, 302
0.141845, 376, 303
0.153472, 360, 290
0.165100, 379, 305
0.176727, 378, 305
0.188354, 365, 294
0.199981, 384, 309
0.211608, 358, 288
0.223236, 376, 303
0.234863, 356, 287
0.246490, 360, 290
0.258117, 372, 300
0.269744, 363, 293
0.281372, 382, 308
0.292999, 373, 301
0.304626, 370, 298
0.316253, 379, 305
0.327880, 363, 293
0.339447, 381, 307
0.351074, 380, 306
0.362701, 386, 311
0.374328, 358, 288
0.385955, 376, 303
0.397583, 357, 288
0.409210, 358, 288
0.420837, 363, 293
0.432464, 354, 285
0.444091, 365, 294
0.455718, 358, 288
0.467346, 380, 306
0.478973, 379, 305
0.490600, 361, 291
0.502227, 383, 309
0.513854, 382, 308
0.525482, 376, 303
0.537109, 379, 305
0.548736, 369, 297
0.560363, 380, 306
0.571990, 373, 301
0.583618, 387, 312
0.595245, 346, 279
0.606872, 376, 303
0.618499, 358, 288
0.630126, 364, 293
0.641754, 364, 293
0.653381, 356, 287
0.665008, 381, 307
0.676635, 361, 291
0.688262, 365, 294
0.699890, 380, 306
0.711517, 379, 305
0.723144, 384, 309
0.734771, 345, 278
0.746398, 370, 298
0.758026, 369, 297
0.769653, 359, 289
0.781280, 377, 304
0.792907, 361, 291
0.816162, 378, 305
0.827789, 384, 309
0.839416, 346, 279
0.851043, 355, 286
0.862670, 373, 301
0.874298, 357, 288
0.885925, 386, 311
0.897552, 346, 279
0.909179, 378, 305
0.920806, 375, 302
0.932434, 363, 293
0.944061, 380, 306
0.955688, 363, 293
0.967315, 384, 309
