0.100494, VREFINT_LOW 1669
0.100921, ADC_DR 0
0.101623, ADC reference value is 65520
0.326629, 3952, 1334.3334
0.340789, 3952, 654.0612
0.354949, 4080, 433.43243
0.369110, 4080, 324.23233
0.383270, 4080, 259.0645
0.397430, 4080, 215.7651
0.411590, 4080, 184.90805
0.425750, 4080, 161.80402
0.439910, 4080, 143.85715
0.454071, 4080, 129.51405
0.468231, 4080, 117.78832
0.482391, 4080, 108.023415
0.496551, 4080, 99.765434
0.510711, 4080, 92.690544
0.524871, 4080, 86.5615
0.539031, 4080, 81.2005
0.553192, 4080, 76.471695
0.567352, 4080, 72.269485
0.581512, 4080, 68.51055
0.595672, 4080, 65.12826
0.609832, 17392, 1334.3334
0.623992, 17392, 654.0612
0.638153, 17392, 433.43243
0.652313, 16368, 324.23233
0.666473, 17392, 259.0645
0.680633, 17392, 215.7651
0.694793, 9712, 184.90805
0.708953, 9712, 161.80402
0.723114, 9712, 143.85715
0.737274, 9712, 129.51405
0.751434, 9712, 117.78832
0.765594, 9712, 108.023415
0.779754, 9712, 99.765434
0.793914, 9712, 92.690544
0.808074, 9712, 86.5615
0.822235, 9712, 81.2005
0.836395, 8176, 76.471695
0.850555, 8176, 72.269485
0.864715, 8176, 68.51055
0.878875, 8176, 65.12826
0.893035, 65520, 1334.3334
0.907196, 32752, 654.0612
0.921356, 32752, 433.43243
0.935516, 32752, 324.23233
0.949676, 17392, 259.0645
0.963836, 17392, 215.7651
0.977996, 17392, 184.90805
0.992156, 17392, 161.80402
1.020477, 17392, 129.51405
1.034637, 17392, 117.78832
1.048797, 17392, 108.023415
1.062927, 9712, 99.765434
1.077087, 9712, 92.690544
1.091247, 9712, 86.5615
1.105407, 9712, 81.2005
1.119567, 9712, 76.471695
1.133728, 9712, 72.269485
1.147888, 9712, 68.51055
1.162048, 9712, 65.12826
1.176208, 65520, 1334.3334
1.190368, 34800, 654.0612
1.204528, 32752, 433.43243
1.218688, 32752, 324.23233
1.232849, 17392, 259.0645
1.247009, 17392, 215.7651
1.261169, 17392, 184.90805
1.275329, 17392, 161.80402
1.289489, 17392, 143.85715
1.303649, 17392, 129.51405
1.317810, 17392, 117.78832
1.331970, 17392, 108.023415
1.346130, 16880, 99.765434
1.360290, 9712, 92.690544
1.374450, 9712, 86.5615
1.388610, 9712, 81.2005
1.402770, 9712, 76.471695
1.416931, 9712, 72.269485
1.431091, 9712, 68.51055
1.445251, 9712, 65.12826
1.459411, 65520, 1334.3334
1.473571, 34800, 654.0612
1.487731, 32752, 433.43243
1.501892, 32752, 324.23233
